,index,firing_rate,condition,neuron_id
0,0,13.141709286624392,60.0,data_sdc_20190902_145404_fromSD_N0
1,1,16.099844247160856,60.0,data_sdc_20190902_145404_fromSD_N0
2,2,19.091955611139035,60.0,data_sdc_20190902_145404_fromSD_N0
3,3,19.668953162654606,60.0,data_sdc_20190902_145404_fromSD_N0
4,4,14.39862679076059,60.0,data_sdc_20190902_145404_fromSD_N0
5,5,15.01951227821876,60.0,data_sdc_20190902_145404_fromSD_N0
6,6,16.562238746128642,60.0,data_sdc_20190902_145404_fromSD_N0
7,7,9.204031560494533,60.0,data_sdc_20190902_145404_fromSD_N0
8,8,21.340149572964076,60.0,data_sdc_20190902_145404_fromSD_N0
9,9,8.596433853176663,60.0,data_sdc_20190902_145404_fromSD_N0
10,10,25.080419037017577,60.0,data_sdc_20190902_145404_fromSD_N0
11,11,21.21192444367511,60.0,data_sdc_20190902_145404_fromSD_N0
12,12,15.456963533105542,60.0,data_sdc_20190902_145404_fromSD_N0
13,13,22.822382742892465,60.0,data_sdc_20190902_145404_fromSD_N0
14,14,9.490124342051637,60.0,data_sdc_20190902_145404_fromSD_N0
15,15,16.92524562793926,60.0,data_sdc_20190902_145404_fromSD_N0
16,16,12.562537068212588,60.0,data_sdc_20190902_145404_fromSD_N0
17,17,16.692871568904557,60.0,data_sdc_20190902_145404_fromSD_N0
18,18,19.194663665893707,68.0,data_sdc_20190902_145404_fromSD_N0
19,19,18.081516514001343,68.0,data_sdc_20190902_145404_fromSD_N0
20,20,14.264400508142735,68.0,data_sdc_20190902_145404_fromSD_N0
21,21,16.373107993686993,68.0,data_sdc_20190902_145404_fromSD_N0
22,22,15.40525097046611,68.0,data_sdc_20190902_145404_fromSD_N0
23,23,18.946438363397334,68.0,data_sdc_20190902_145404_fromSD_N0
24,24,16.666334081886482,68.0,data_sdc_20190902_145404_fromSD_N0
25,25,23.559944420242623,68.0,data_sdc_20190902_145404_fromSD_N0
26,26,23.01506328322264,68.0,data_sdc_20190902_145404_fromSD_N0
27,27,19.634686518319022,68.0,data_sdc_20190902_145404_fromSD_N0
28,28,18.534945695311972,68.0,data_sdc_20190902_145404_fromSD_N0
29,29,21.796154491030553,68.0,data_sdc_20190902_145404_fromSD_N0
30,30,21.295323216256747,68.0,data_sdc_20190902_145404_fromSD_N0
31,31,24.747577575120328,68.0,data_sdc_20190902_145404_fromSD_N0
32,32,24.66708841328784,68.0,data_sdc_20190902_145404_fromSD_N0
33,33,16.201767121216722,68.0,data_sdc_20190902_145404_fromSD_N0
34,34,15.441955064261284,68.0,data_sdc_20190902_145404_fromSD_N0
35,35,18.493979780213763,68.0,data_sdc_20190902_145404_fromSD_N0
36,36,11.645927535041498,68.0,data_sdc_20190902_145404_fromSD_N0
37,37,14.876660188741234,68.0,data_sdc_20190902_145404_fromSD_N0
38,38,15.467825637439413,68.0,data_sdc_20190902_145404_fromSD_N0
39,39,16.759007253748912,68.0,data_sdc_20190902_145404_fromSD_N0
40,40,20.178868431086556,68.0,data_sdc_20190902_145404_fromSD_N0
41,41,17.76427861851728,68.0,data_sdc_20190902_145404_fromSD_N0
42,42,16.21404915086958,68.0,data_sdc_20190902_145404_fromSD_N0
43,43,24.79968377408889,68.0,data_sdc_20190902_145404_fromSD_N0
44,44,17.16404969841584,68.0,data_sdc_20190902_145404_fromSD_N0
45,45,16.77420878434152,68.0,data_sdc_20190902_145404_fromSD_N0
46,46,23.01758841445415,68.0,data_sdc_20190902_145404_fromSD_N0
47,47,18.883161962536192,68.0,data_sdc_20190902_145404_fromSD_N0
48,48,21.504701595621537,68.0,data_sdc_20190902_145404_fromSD_N0
49,49,18.629049451024752,68.0,data_sdc_20190902_145404_fromSD_N0
50,50,16.59990662852057,68.0,data_sdc_20190902_145404_fromSD_N0
51,51,25.328826832295775,68.0,data_sdc_20190902_145404_fromSD_N0
52,52,16.65273291769025,68.0,data_sdc_20190902_145404_fromSD_N0
53,53,15.381788917360248,68.0,data_sdc_20190902_145404_fromSD_N0
54,54,19.401033513804823,68.0,data_sdc_20190902_145404_fromSD_N0
55,55,21.74249632521084,68.0,data_sdc_20190902_145404_fromSD_N0
56,56,19.296692873997124,68.0,data_sdc_20190902_145404_fromSD_N0
57,57,22.30401716433242,68.0,data_sdc_20190902_145404_fromSD_N0
58,58,16.637117445794193,68.0,data_sdc_20190902_145404_fromSD_N0
59,59,12.527409063162475,68.0,data_sdc_20190902_145404_fromSD_N0
60,60,13.390705391469359,68.0,data_sdc_20190902_145404_fromSD_N0
61,61,16.750890444231093,68.0,data_sdc_20190902_145404_fromSD_N0
62,62,12.944087298087712,68.0,data_sdc_20190902_145404_fromSD_N0
63,63,17.486471334861776,68.0,data_sdc_20190902_145404_fromSD_N0
64,64,18.810984932476277,68.0,data_sdc_20190902_145404_fromSD_N0
65,65,12.316221106937105,68.0,data_sdc_20190902_145404_fromSD_N0
66,66,12.930409701440785,68.0,data_sdc_20190902_145404_fromSD_N0
67,67,17.915180432009883,68.0,data_sdc_20190902_145404_fromSD_N0
68,68,16.332938361523144,68.0,data_sdc_20190902_145404_fromSD_N0
69,69,20.472320911938688,68.0,data_sdc_20190902_145404_fromSD_N0
70,70,25.48582627280625,68.0,data_sdc_20190902_145404_fromSD_N0
71,71,10.228940664040701,68.0,data_sdc_20190902_145404_fromSD_N0
72,72,19.560882974203004,68.0,data_sdc_20190902_145404_fromSD_N0
73,73,14.012559598416823,68.0,data_sdc_20190902_145404_fromSD_N0
74,74,13.395011187182922,76.0,data_sdc_20190902_145404_fromSD_N0
75,75,14.504262256141166,76.0,data_sdc_20190902_145404_fromSD_N0
76,76,13.283956596668576,76.0,data_sdc_20190902_145404_fromSD_N0
77,77,18.311840573370173,76.0,data_sdc_20190902_145404_fromSD_N0
78,78,21.822662897847184,76.0,data_sdc_20190902_145404_fromSD_N0
79,79,11.93802858224749,76.0,data_sdc_20190902_145404_fromSD_N0
80,80,18.999992184621263,76.0,data_sdc_20190902_145404_fromSD_N0
81,81,19.014379675273762,76.0,data_sdc_20190902_145404_fromSD_N0
82,82,15.820072018415564,76.0,data_sdc_20190902_145404_fromSD_N0
